Indicator;Wetenschappelijke naam;Nederlandse naam;Groeivormen
Soortenlijst sleutelsoorten;Callitriche hamulata;haaksterrenkroos;
Soortenlijst sleutelsoorten;Cinclidotus;kribbenmos;
Soortenlijst sleutelsoorten;Fontinalis antipyretica;bronmos;
Soortenlijst sleutelsoorten;Groenlandia densa;paarbladig fonteinkruid;
Soortenlijst sleutelsoorten;Luronium natans;drijvende waterweegbree;
Soortenlijst sleutelsoorten;Myriophyllum alterniflorum;teer vederkruid;
Soortenlijst sleutelsoorten;Myriophyllum verticillatum;kransvederkruid;
Soortenlijst sleutelsoorten;Potamogeton acutifolius;spits fonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton alpinus;rossig fonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton berchtoldii;klein fonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton coloratus;weegbreefonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton friesii;puntig fonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton gramineus;ongelijkbladig fonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton lucens;glanzig fonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton nodosus;rivierfonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton obtusifolius;stomp fonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton perfoliatus;doorgroeid fonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton polygonifolius;duizendknoopfonteinkruid;
Soortenlijst sleutelsoorten;Potamogeton praelongus;langstengelig fonteinkruid;
Soortenlijst sleutelsoorten;Ranunculus aquatilis;middelste waterranonkel;
Soortenlijst sleutelsoorten;Ranunculus fluitans;vlottende waterranonkel;
Soortenlijst sleutelsoorten;Ranunculus hederaceus;klimopwaterranonkel;
Soortenlijst sleutelsoorten;Ranunculus peltatus;grote waterranonkel;
Soortenlijst sleutelsoorten;Ranunculus penicillatus;penseelbladige waterranonkel;
Soortenlijst sleutelsoorten;Ranunculus trichophyllus;kleine waterranonkel;
Eutrofiëringsindicatoren;Azolla filiculoides;grote kroosvaren;
Eutrofiëringsindicatoren;Ceratophyllum sp.;hoornblad;
Eutrofiëringsindicatoren;darmwier;darmwier;
Eutrofiëringsindicatoren;draadwier;draadwier;
Eutrofiëringsindicatoren;Elodea nuttallii;smalle waterpest;
Eutrofiëringsindicatoren;Glyceria maxima;liesgras;
Eutrofiëringsindicatoren;Hydrocotyle ranunculoides;grote waternavel;
Eutrofiëringsindicatoren;Hydrodiction reticulatum;waternetje;
Eutrofiëringsindicatoren;Lemna sp. uitz. L. trisulca;eendenkroos;
Eutrofiëringsindicatoren;P. pectinatus / S. pectinata;schedefonteinkruid;
Eutrofiëringsindicatoren;Potamogeton trichoides;haarfonteinkruid;
Eutrofiëringsindicatoren;Sphaerotilus;rioolschimmel;
Eutrofiëringsindicatoren;Spirodela polyrhiza;veelwortelig kroos;
Eutrofiëringsindicatoren;Typha;lisdodde;
Eutrofiëringsindicatoren;Wolffia arrhiza;wortelloos kroos;
Eutrofiëringsindicatoren;Zannichellia palustris;zannichellia;
Invasieve exoten;Azolla filiculoides;grote kroosvaren;
Invasieve exoten;Crassula helmsii;watercrassula;
Invasieve exoten;Egeria densa;egeria;
Invasieve exoten;Elodea nuttallii;smalle waterpest;
Invasieve exoten;Hydrocotyle ranunculoides;grote waternavel;
Invasieve exoten;Lagarosiphon major;verspreidbladige waterpest;
Invasieve exoten;Lemna minuta;dwergkroos;
Invasieve exoten;Lemna turionifera;knopkroos;
Invasieve exoten;Ludwigia grandiflora;waterteunisbloem;
Invasieve exoten;Ludwigia peploides;kleine waterteunisbloem;
Invasieve exoten;Myriophyllum aquaticum;parelvederkruid;
Invasieve exoten;Myriophyllum heterophyllum;ongelijkbladig vederkruid;
Soorten met meerdere groeivormen;Apium inundatum;ondergedoken moerasscherm;batrachiiden / oever/moeras
Soorten met meerdere groeivormen;Hippuris vulgaris;lidsteng;elodeïden / oever/moeras
Soorten met meerdere groeivormen;Luronium natans;drijvende waterweegbree;isoëtiden / nymphaeïden / vallisneriden
Soorten met meerdere groeivormen;Eleocharis acicularis;naaldwaterbies;isoëtiden / oever/moeras
Soorten met meerdere groeivormen;Juncus bulbosus;knolrus;isoëtiden / oever/moeras / parvopotamiden
Soorten met meerdere groeivormen;Hydrocotyle ranunculoides;grote waternavel;nymphaeïden / oever/moeras
Soorten met meerdere groeivormen;Polygonum amphibium;veenwortel;nymphaeïden / oever/moeras
Soorten met meerdere groeivormen;Scirpus fluitans;vlottende bies;oever/moeras / parvopotamiden
Soorten met meerdere groeivormen;Glyceria fluitans;mannagras;oever/moeras / vallisneriden
Soorten met meerdere groeivormen;Sagittaria sagittifolia;pijlkruid;oever/moeras / vallisneriden
Soorten met meerdere groeivormen;Sparganium emersum;kleine egelskop;oever/moeras / vallisneriden
Soorten met meerdere groeivormen;Sparganium erectum;grote egelskop ;grote monocotylen / vallisneriden
Soorten met meerdere groeivormen;Sparganium natans;kleinste egelskop;oever/moeras / vallisneriden
