ListName	Code	SortCode	PctValue
Barkman (aangepast)	+a	10	2
Barkman (aangepast)	+b	20	4
Barkman (aangepast)	+p	30	1
Barkman (aangepast)	+r	40	1
Barkman (aangepast)	1a	50	2
Barkman (aangepast)	1b	60	4
Barkman (aangepast)	1p	70	1
Barkman (aangepast)	2a	80	8
Barkman (aangepast)	2b	90	18
Barkman (aangepast)	2m	100	4
Barkman (aangepast)	3a	110	31
Barkman (aangepast)	3b	120	43
Barkman (aangepast)	4a	130	56
Barkman (aangepast)	4b	140	68
Barkman (aangepast)	5a	150	81
Barkman (aangepast)	5b	160	93
Barkman, Doing & Segal	+a	10	1
Barkman, Doing & Segal	+b	20	2
Barkman, Doing & Segal	+p	30	1
Barkman, Doing & Segal	+r	40	1
Barkman, Doing & Segal	1a	50	2
Barkman, Doing & Segal	1b	60	3
Barkman, Doing & Segal	1p	70	1
Barkman, Doing & Segal	2a	80	8
Barkman, Doing & Segal	2b	90	18
Barkman, Doing & Segal	2m	100	4
Barkman, Doing & Segal	2p	110	1
Barkman, Doing & Segal	3a	120	31
Barkman, Doing & Segal	3b	130	43
Barkman, Doing & Segal	4a	140	56
Barkman, Doing & Segal	4b	150	68
Barkman, Doing & Segal	5a	160	81
Barkman, Doing & Segal	5b	170	93
Barkman, Doing & Segal	5c	180	100
Barkman, Doing & Segal	r	190	1
Beheermonitoringsschaal2017	ZS	10	0.5
Beheermonitoringsschaal2017	ZS2	20	0.2
Beheermonitoringsschaal2017	ZS4	30	0.1
Beheermonitoringsschaal2017	ZS8	40	0.1
Beheermonitoringsschaal2017	ZSR	50	0.1
Beheermonitoringsschaal2017	S	60	1
Beheermonitoringsschaal2017	S2	70	0.4
Beheermonitoringsschaal2017	S4	80	0.2
Beheermonitoringsschaal2017	S8	90	0.1
Beheermonitoringsschaal2017	SR	100	0.1
Beheermonitoringsschaal2017	WT	110	1.5
Beheermonitoringsschaal2017	WT2	120	0.6
Beheermonitoringsschaal2017	WT4	130	0.3
Beheermonitoringsschaal2017	WT8	140	0.1
Beheermonitoringsschaal2017	WTR	150	0.1
Beheermonitoringsschaal2017	T	160	3
Beheermonitoringsschaal2017	T2	170	1.1
Beheermonitoringsschaal2017	T4	180	0.6
Beheermonitoringsschaal2017	T8	190	0.2
Beheermonitoringsschaal2017	TR	200	0.2
Beheermonitoringsschaal2017	B	210	15
Beheermonitoringsschaal2017	B2	220	5.6
Beheermonitoringsschaal2017	B4	230	2.8
Beheermonitoringsschaal2017	B8	240	0.9
Beheermonitoringsschaal2017	BR	250	0.9
Beheermonitoringsschaal2017	KB	260	37.5
Beheermonitoringsschaal2017	KB2	270	14.1
Beheermonitoringsschaal2017	KB4	280	7
Beheermonitoringsschaal2017	KB8	290	2.3
Beheermonitoringsschaal2017	KBR	300	0.9
Beheermonitoringsschaal2017	HB	310	62.5
Beheermonitoringsschaal2017	HB2	320	23.4
Beheermonitoringsschaal2017	HB4	330	11.7
Beheermonitoringsschaal2017	HB8	340	3.9
Beheermonitoringsschaal2017	HBR	350	1.5
Beheermonitoringsschaal2017	D	360	87.5
Beheermonitoringsschaal2017	D2	370	32.8
Beheermonitoringsschaal2017	D4	380	16.4
Beheermonitoringsschaal2017	D8	390	5.5
Beheersmonitoringsscha	Aa	10	15
Beheersmonitoringsscha	Ab	20	5
Beheersmonitoringsscha	C	30	37.5
Beheersmonitoringsscha	Da	40	87.5
Beheersmonitoringsscha	Db	50	62.5
Beheersmonitoringsscha	F	60	4
Beheersmonitoringsscha	O	70	3
Beheersmonitoringsscha	R	80	1
Beheersmonitoringsscha	S	90	0.5
Braun/Blanquet	r	5	1
Braun/Blanquet	+	10	2
Braun/Blanquet	1	20	3
Braun/Blanquet	2	30	13
Braun/Blanquet	3	40	38
Braun/Blanquet	4	50	68
Braun/Blanquet	5	60	88
Braun/Blanquet (B,D&S)	r	100	1
Braun/Blanquet (B,D&S)	+	200	2
Braun/Blanquet (B,D&S)	1	300	3
Braun/Blanquet (B,D&S)	2m	400	4
Braun/Blanquet (B,D&S)	2a	500	8
Braun/Blanquet (B,D&S)	2b	600	18
Braun/Blanquet (B,D&S)	3	700	38
Braun/Blanquet (B,D&S)	4	800	68
Braun/Blanquet (B,D&S)	5	900	88
BraunBlanquet (BDS) Nr	1	10	1
BraunBlanquet (BDS) Nr	2	20	2
BraunBlanquet (BDS) Nr	3	30	3
BraunBlanquet (BDS) Nr	4	40	4
BraunBlanquet (BDS) Nr	5	50	8
BraunBlanquet (BDS) Nr	6	60	18
BraunBlanquet (BDS) Nr	7	70	38
BraunBlanquet (BDS) Nr	8	80	68
BraunBlanquet (BDS) Nr	9	90	88
BraunBlanquet Numeriek	1	10	1
BraunBlanquet Numeriek	2	20	2
BraunBlanquet Numeriek	3	30	3
BraunBlanquet Numeriek	4	40	13
BraunBlanquet Numeriek	5	50	38
BraunBlanquet Numeriek	6	60	68
BraunBlanquet Numeriek	7	70	88
Londo (1) volledig	.1	10	1
Londo (1) volledig	.2	20	2
Londo (1) volledig	.4	30	4
Londo (1) volledig	1-	35	7
